Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,3,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,3,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,3,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,0,0,2,,,,,,,
50,180,10,0,1,,,,,,,
50,180,10,0,2,,,,,,,
50,180,10,0,1,,,,,,,
50,180,10,0,1,,,,,,,
50,180,10,0,5,,,,,,,
50,180,10,0,9,,,,,,,
50,180,10,0,11,,,,,,,
50,180,10,0,12,,,,,,,
50,180,10,0,13,,,,,,,
50,180,10,0,12,,,,,,,
50,180,10,0,11,,,,,,,
50,180,10,0,12,,,,,,,
50,180,10,0,12,,,,,,,
50,180,10,0,12,,,,,,,
50,180,10,0,12,,,,,,,
50,180,10,0,11,,,,,,,
50,180,10,0,12,,,,,,,
50,180,10,0,12,,,,,,,
50,180,10,0,12,,,,,,,
50,180,20,0,11,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,11,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,13,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,12,,,,,,,
50,180,20,0,13,,,,,,,
50,180,30,0,13,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,13,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,11,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,13,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,30,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,11,,,,,,,
50,180,0,0,11,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,11,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,13,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,12,,,,,,,
50,180,0,0,13,,,,,,,
