Target Speed,Current Speed,Target Pitch,Current Pitch 1,Current Pitch 2,,,,,,
50,150,10,-13,-92,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-30,-96,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-14,-98,,,,,,Received: &_DATA_50.00_150.00_0_-49_2_*
50,150,10,-36,-97,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-49,-98,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-35,-99,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-39,-98,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-53,-99,,,,,,Received: &_DATA_50.00_150.00_0_-52_3_*
50,150,10,-62,-98,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-59,-98,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-61,-98,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-62,-97,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-49,-99,,,,,,Received: &_DATA_50.00_150.00_0_-60_3_*
50,150,10,-34,-98,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-36,-96,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-40,-98,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-45,-98,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-36,-95,,,,,,Received: &_DATA_50.00_150.00_0_-65_3_*
50,150,20,-53,-63,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-42,46,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-35,90,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-46,84,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-13,57,,,,,,Received: &_DATA_50.00_150.00_0_-50_3_*
50,150,20,-4,42,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-12,36,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-6,34,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-4,33,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-2,32,,,,,,Received: &_DATA_50.00_150.00_0_-48_3_*
50,150,20,-2,33,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-12,33,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-11,33,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-7,33,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-20,33,,,,,,Received: &_DATA_50.00_150.00_0_-50_3_*
50,150,20,-14,33,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-8,33,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-10,33,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-8,33,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-26,33,,,,,,Received: &_DATA_50.00_150.00_0_-55_3_*
50,150,30,-24,33,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-22,33,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-19,33,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-11,33,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-15,33,,,,,,Received: &_DATA_50.00_150.00_0_-55_2_*
50,150,30,-10,32,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-10,33,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-14,33,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-18,33,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-26,33,,,,,,Received: &_DATA_50.00_150.00_0_-55_2_*
50,150,30,-19,33,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-6,33,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-17,33,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-14,32,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-11,32,,,,,,Received: &_DATA_50.00_150.00_0_-47_3_*
50,150,30,-16,33,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-14,32,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-16,32,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-14,32,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-12,32,,,,,,Received: &_DATA_50.00_150.00_0_-46_3_*
50,150,0,-2,27,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-6,12,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-12,-9,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-12,-28,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-19,-34,,,,,,Received: &_DATA_50.00_150.00_0_-46_3_*
50,150,0,-10,-37,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-11,-39,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-4,-39,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-17,-39,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-12,-38,,,,,,Received: &_DATA_50.00_150.00_0_-54_3_*
50,150,0,-5,-40,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,0,-39,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-3,-37,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-3,-31,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-5,-26,,,,,,Received: &_DATA_50.00_150.00_0_-46_3_*
50,150,0,-23,-14,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-15,4,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-11,11,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-1,14,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,0,15,,,,,,Received: &_DATA_50.00_150.00_0_-50_3_*
50,150,0,-10,15,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-30,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-44,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-53,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-52,16,,,,,,Received: &_DATA_50.00_150.00_0_-51_3_*
50,150,0,-47,15,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-52,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-52,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-52,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-54,16,,,,,,Sent: &_START_TEST_*
50,150,0,-58,16,,,,,,Received: &_DATA_50.00_150.00_0_-49_3_*
50,150,0,-58,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-72,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-70,15,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-63,15,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-60,16,,,,,,Received: &_DATA_50.00_150.00_0_-46_3_*
50,150,0,-62,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-57,15,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-62,15,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-60,15,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-70,15,,,,,,Received: &_DATA_50.00_150.00_0_-46_3_*
50,150,0,-68,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-60,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-58,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-64,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-55,16,,,,,,Received: &_DATA_50.00_150.00_0_-50_3_*
50,150,0,-67,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-69,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-85,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-70,15,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-70,16,,,,,,Received: &_DATA_50.00_150.00_0_-37_3_*
50,150,0,-69,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-69,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-66,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-64,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-70,15,,,,,,Received: &_DATA_50.00_150.00_0_-44_3_*
50,150,0,-64,15,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-63,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-61,15,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-58,15,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-55,16,,,,,,Received: &_DATA_50.00_150.00_0_-44_3_*
50,150,0,-62,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-58,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-69,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-60,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-60,16,,,,,,Received: &_DATA_50.00_150.00_0_-46_3_*
50,150,0,-63,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-55,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-58,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-58,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-56,16,,,,,,Received: &_DATA_50.00_150.00_0_-50_3_*
50,150,0,-62,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-47,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-49,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-49,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-49,16,,,,,,Received: &_DATA_50.00_150.00_0_-56_3_*
50,150,0,-54,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-56,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-56,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-58,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-61,16,,,,,,Received: &_DATA_50.00_150.00_0_-48_3_*
50,150,0,-57,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-58,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-54,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-51,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-50,16,,,,,,Received: &_DATA_50.00_150.00_0_-54_2_*
50,150,0,-53,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-53,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-51,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-66,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-67,15,,,,,,Received: &_DATA_50.00_150.00_0_-51_3_*
50,150,0,-72,15,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-73,15,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-70,15,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-74,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-79,15,,,,,,Received: &_DATA_50.00_150.00_0_-51_3_*
50,150,0,-80,15,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-70,15,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-68,16,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-67,16,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-74,15,,,,,,Received: &_DATA_50.00_150.00_0_-47_3_*
50,150,0,-75,15,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-73,15,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-79,15,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-70,15,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-72,16,,,,,,Received: &_DATA_50.00_150.00_0_-51_3_*
50,150,0,-72,16,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-59,16,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-67,15,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-65,15,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-75,15,,,,,,Received: &_DATA_50.00_150.00_0_-55_2_*
50,150,10,-81,8,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-57,-42,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-29,-77,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-50,-89,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-39,-93,,,,,,Received: &_DATA_50.00_150.00_0_-52_3_*
50,150,10,-14,-95,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-28,-95,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-33,-95,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-30,-95,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-29,-94,,,,,,Received: &_DATA_50.00_150.00_0_-45_3_*
50,150,10,-32,-95,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-30,-95,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-1,-94,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-15,-95,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,10,-32,-94,,,,,,Received: &_DATA_50.00_150.00_0_-43_3_*
50,150,10,-35,-94,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-25,-95,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,10,-14,-95,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-1,-94,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-18,-94,,,,,,Received: &_DATA_50.00_150.00_0_-55_2_*
50,150,20,-26,-94,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-25,-94,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-25,-95,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-27,-95,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-28,-95,,,,,,Received: &_DATA_50.00_150.00_0_-61_2_*
50,150,20,-27,-94,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-13,-94,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-15,-93,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-23,-94,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-27,-94,,,,,,Received: &_DATA_50.00_150.00_0_-63_2_*
50,150,20,-15,-93,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-8,-94,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-10,-94,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-9,-93,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,20,-5,-92,,,,,,Received: &_DATA_50.00_150.00_0_-68_2_*
50,150,20,-10,-62,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-3,41,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,20,-6,90,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-19,86,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-3,63,,,,,,Received: &_DATA_50.00_150.00_0_-67_2_*
50,150,30,-27,51,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-24,46,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,0,45,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-4,44,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-40,42,,,,,,Received: &_DATA_50.00_150.00_0_-67_2_*
50,150,30,-81,43,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-72,43,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-65,44,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-40,44,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-28,44,,,,,,Received: &_DATA_50.00_150.00_0_-65_2_*
50,150,30,-17,44,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-13,44,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-18,44,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-17,44,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,30,-26,44,,,,,,Received: &_DATA_50.00_150.00_0_-63_2_*
50,150,30,-25,44,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-17,43,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,30,-3067,-103,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-5689,-257,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-7002,-334,,,,,,Received: &_DATA_50.00_150.00_0_-62_2_*
50,150,0,-7590,-368,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-7828,-382,,,,,,Received control message: &_PWM_25.00_25.00_25.00_25.00_25.00_*
50,150,0,-7928,-387,,,,,,Received: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-7976,-390,,,,,,Received control message: &_PID_1.000000_0.700000_0.001000_*
50,150,0,-8003,-392,,,,,,Received: &_DATA_50.00_150.00_0_-55_2_*
50,150,0,-8025,-393,,,,,,Received: &_PWM_25.00_25.00_25.00_25.00_25.00_*
